Year,Total Trips,Total Miles,Total 24-Hour Passes Purchased,Total 3-Day Passes Purchased,Average Daily Ride (Miles)
2018,3756038,9045124,182611,13808,2.4081556150390386
2019,4427813,8022282,366017,9332,1.8117933164747473
