start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
474.0,5 Ave & E 29 St,40.7451677,-73.98683077,3877.0,8.47,474,40.7451677,-73.98683077,3562,4.63
3282.0,5 Ave & E 88 St,40.78307,-73.95939,3854.0,8.41,3282,40.78307,-73.95939,3324,4.32
347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,3838.0,8.38,347,40.728846000000004,-74.00859100000001,3628,4.72
3256.0,Pier 40 - Hudson River Park,40.72771408,-74.01129574,3838.0,8.38,3256,40.72771408,-74.01129574,3526,4.59
3260.0,Mercer St & Bleecker St,40.72706363,-73.99662137,3817.0,8.33,3260,40.72706363,-73.99662137,3575,4.65
346.0,Bank St & Hudson St,40.73652889,-74.00618026,3785.0,8.26,346,40.73652889,-74.00618026,3467,4.51
307.0,Canal St & Rutgers St,40.71427487,-73.98990025,3763.0,8.22,307,40.71427487,-73.98990025,3454,4.49
312.0,Allen St & Stanton St,40.722055,-73.989111,3720.0,8.12,312,40.722055,-73.989111,3419,4.45
461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,3699.0,8.08,461,40.73587678,-73.98205027,3358,4.37
2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651,3692.0,8.06,2021,40.75929124,-73.98859651,3272,4.25
410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,3691.0,8.06,410,40.72066442,-73.98517977,3412,4.44
458.0,11 Ave & W 27 St,40.751396,-74.00522600000001,3688.0,8.05,458,40.751396,-74.00522600000001,3596,4.68
529.0,W 42 St & 8 Ave,40.75756989999999,-73.99098507,3656.0,7.98,529,40.75756989999999,-73.99098507,3433,4.46
251.0,Mott St & Prince St,40.72317958,-73.99480012,3645.0,7.96,251,40.72317958,-73.99480012,3378,4.39
2008.0,Little West St & 1 Pl,40.70569254,-74.01677685,3641.0,7.95,2008,40.70569254,-74.01677685,3325,4.32
417.0,Barclay St & Church St,40.71291224,-74.01020234,3634.0,7.93,417,40.71291224,-74.01020234,3183,4.14
447.0,8 Ave & W 52 St,40.76370739,-73.9851615,3630.0,7.93,447,40.76370739,-73.9851615,3298,4.29
468.0,Broadway & W 56 St,40.7652654,-73.98192338,3629.0,7.92,468,40.7652654,-73.98192338,3080,4.01
487.0,E 20 St & FDR Drive,40.73314259,-73.97573881,3626.0,7.92,487,40.73314259,-73.97573881,3398,4.42
326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,3617.0,7.9,326,40.72953837,-73.98426726,3333,4.33
530.0,11 Ave & W 59 St,40.771522,-73.99054100000001,3590.0,7.84,530,40.771522,-73.99054100000001,3056,3.97
3258.0,W 27 St & 10 Ave,40.75018156,-74.00218427,3583.0,7.82,3258,40.75018156,-74.00218427,3224,4.19
536.0,1 Ave & E 30 St,40.74144387,-73.97536082,3569.0,7.79,536,40.74144387,-73.97536082,3369,4.38
3158.0,W 63 St & Broadway,40.77163851,-73.98261428,3567.0,7.79,3158,40.77163851,-73.98261428,2465,3.21
2003.0,1 Ave & E 18 St,40.73381219,-73.98054421,3545.0,7.74,2003,40.73381219,-73.98054421,3183,4.14
540.0,Lexington Ave & E 29 St,40.74311555,-73.98215353,3545.0,7.74,540,40.74311555,-73.98215353,3265,4.25
401.0,Allen St & Rivington St,40.72019576,-73.98997825,3517.0,7.68,401,40.72019576,-73.98997825,3227,4.2
265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,3506.0,7.66,265,40.72229346,-73.99147535,3157,4.11
336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,3502.0,7.65,336,40.73047747,-73.99906065,3463,4.5
335.0,Washington Pl & Broadway,40.72903917,-73.99404649,3474.0,7.59,335,40.72903917,-73.99404649,3295,4.28
315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,3449.0,7.53,315,40.70355377,-74.00670227,3320,4.32
476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,3433.0,7.5,476,40.74394314,-73.97966069,3103,4.04
3168.0,Central Park West & W 85 St,40.78472675,-73.96961715,3418.0,7.46,3168,40.78472675,-73.96961715,2444,3.18
501.0,FDR Drive & E 35 St,40.744219,-73.97121214,3379.0,7.38,501,40.744219,-73.97121214,3087,4.01
212.0,W 16 St & The High Line,40.74334935,-74.00681753,3378.0,7.38,212,40.74334935,-74.00681753,3077,4.0
526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,3353.0,7.32,526,40.74765947,-73.98490707,3059,3.98
3016.0,Kent Ave & N 7 St,40.72036775,-73.96165073,3327.0,7.26,3016,40.72036775,-73.96165073,3126,4.07
3159.0,W 67 St & Broadway,40.77492513,-73.98266566,3322.0,7.25,3159,40.77492513,-73.98266566,2431,3.16
3236.0,W 42 St & Dyer Ave,40.75898481,-73.99379969,3273.0,7.15,3236,40.75898481,-73.99379969,2828,3.68
304.0,Broadway & Battery Pl,40.70463334,-74.01361706,3267.0,7.13,304,40.70463334,-74.01361706,3345,4.35
478.0,11 Ave & W 41 St,40.76030096,-73.99884222,3232.0,7.06,478,40.76030096,-73.99884222,3023,3.93
325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,3229.0,7.05,325,40.73624527,-73.98473765,2944,3.83
