start station id,Station Name,start station latitude,start station longitude,Number of Starts 2019,Percentage of Total Starts 2019,end station id,end station latitude,end station longitude,Number of Ends 2019,Percentage of Total Ends 2019
519.0,Pershing Square North,40.751872999999996,-73.97770600000001,8091.0,10.52,519,40.751872999999996,-73.97770600000001,8046,10.36
3255.0,8 Ave & W 31 St,40.75058535,-73.99468482,6482.0,8.43,3255,40.75058535,-73.99468482,6339,8.16
402.0,Broadway & E 22 St,40.740343200000005,-73.98955109,6281.0,8.17,402,40.740343200000005,-73.98955109,6603,8.5
497.0,E 17 St & Broadway,40.73704984,-73.99009296,6202.0,8.07,497,40.73704984,-73.99009296,6345,8.17
435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,5746.0,7.47,435,40.74173969,-73.99415556,5764,7.42
499.0,Broadway & W 60 St,40.76915505,-73.98191841,5411.0,7.04,499,40.76915505,-73.98191841,5169,6.65
490.0,8 Ave & W 33 St,40.751551,-73.993934,5265.0,6.85,490,40.751551,-73.993934,5253,6.76
358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,5155.0,6.7,358,40.73291553,-74.00711384,5136,6.61
426.0,West St & Chambers St,40.71754834,-74.01322069,5128.0,6.67,426,40.71754834,-74.01322069,5717,7.36
459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756,5084.0,6.61,459,40.746745000000004,-74.007756,5360,6.9
514.0,12 Ave & W 40 St,40.76087502,-74.00277668,4854.0,6.31,514,40.76087502,-74.00277668,5055,6.51
3660.0,W 16 St & 8 Ave,40.74102151,-74.00138497,4829.0,6.28,3660,40.74102151,-74.00138497,4847,6.24
285.0,Broadway & E 14 St,40.73454567,-73.99074142,4775.0,6.21,285,40.73454567,-73.99074142,4839,6.23
293.0,Lafayette St & E 8 St,40.73020661,-73.99102628,4749.0,6.18,293,40.73020661,-73.99102628,4916,6.33
368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,4704.0,6.12,368,40.73038599,-74.00214988,4715,6.07
359.0,E 47 St & Park Ave,40.75510267,-73.97498696,4533.0,5.89,359,40.75510267,-73.97498696,4689,6.03
